localizacao,rede,atu_em,had_em,tdi_em,taxa_aprovacao_em,taxa_reprovacao_em,dsu_em,afd_em_grupo_1,taxa_abandono_em
total,total,31.4,4.7,31.1,78.7,12.2,93.0,,9.1
urbana,total,31.8,4.7,30.6,78.5,12.4,93.3,,9.1
total,municipal,28.5,4.5,34.6,79.6,10.8,86.5,,9.6
total,publica,31.7,4.6,34.5,76.5,13.1,93.4,,10.4
total,privada,29.6,5.3,7.6,93.4,6.1,91.4,,0.5
urbana,privada,29.6,5.3,7.5,93.4,6.1,91.5,,0.5
rural,federal,29.7,8.7,22.6,88.6,8.9,99.2,79.0,2.5
total,total,29.5,5.6,22.2,86.6,7.7,96.3,67.6,5.7
urbana,total,30.1,5.6,21.5,86.7,7.8,96.7,68.8,5.5
urbana,publica,30.6,5.6,23.7,85.2,8.5,97.1,68.7,6.3
total,publica,29.9,5.6,24.3,85.1,8.4,96.7,67.4,6.5
total,privada,27.0,5.7,6.3,96.9,2.4,94.8,68.9,0.7
urbana,privada,27.0,5.6,6.1,96.9,2.4,94.9,69.3,0.7
urbana,municipal,28.4,5.0,16.2,91.7,4.9,97.9,69.4,3.4
total,municipal,26.9,4.9,21.3,91.4,4.6,93.4,63.9,4.0
rural,privada,24.1,9.4,21.8,93.3,3.0,87.1,49.7,3.7
total,federal,29.9,7.4,23.4,88.3,9.5,99.1,73.9,2.2
urbana,federal,29.9,7.2,23.6,88.2,9.6,99.1,73.1,2.2
total,estadual,29.9,5.5,24.4,85.0,8.4,96.6,67.1,6.6
urbana,estadual,30.6,5.6,23.8,85.0,8.5,97.0,68.6,6.5
rural,estadual,21.1,5.1,35.6,84.5,6.6,91.9,51.1,8.9
rural,total,21.7,5.5,34.4,85.2,6.6,92.0,52.3,8.2
rural,publica,21.6,5.3,34.9,84.9,6.8,92.3,52.4,8.3
rural,municipal,19.9,4.1,55.1,89.7,2.6,75.3,33.9,7.7
rural,municipal,18.8,4.5,42.6,96.0,1.2,83.9,36.6,2.8
rural,publica,21.9,5.1,37.7,95.1,2.6,92.9,52.6,2.3
rural,total,21.9,5.2,37.1,95.0,2.6,92.7,52.4,2.4
total,estadual,30.8,5.2,29.3,94.6,2.8,97.8,64.7,2.6
urbana,estadual,31.6,5.2,28.7,94.5,2.9,98.3,65.8,2.6
urbana,publica,31.6,5.3,28.4,94.4,3.1,98.3,66.0,2.5
total,publica,30.8,5.3,28.9,94.4,3.0,97.9,65.0,2.6
total,total,30.3,5.3,26.2,95.0,2.7,97.3,65.2,2.3
urbana,total,30.9,5.3,25.6,95.0,2.7,97.6,66.1,2.3
rural,estadual,21.3,4.8,39.5,96.0,1.6,92.3,51.6,2.4
total,municipal,27.4,4.8,21.6,97.2,1.3,95.5,66.8,1.5
urbana,municipal,28.8,4.9,19.4,97.4,1.3,97.8,71.8,1.3
total,privada,26.9,5.6,6.8,98.8,0.7,95.2,65.9,0.5
urbana,privada,26.9,5.5,6.5,98.9,0.7,95.3,66.2,0.4
rural,federal,31.2,8.6,18.5,82.5,15.2,99.1,71.9,2.3
total,federal,30.8,7.1,19.0,88.2,10.0,99.1,73.8,1.8
urbana,federal,30.7,6.8,19.1,89.2,9.1,99.1,74.1,1.7
rural,privada,23.5,8.4,22.8,93.8,2.0,88.3,47.0,4.2
rural,estadual,27.0,,42.0,78.9,7.1,,,14.0
rural,privada,25.9,,21.6,92.7,5.6,,,1.7
urbana,estadual,34.7,,37.0,72.2,13.3,,,14.5
total,federal,30.7,,24.2,84.3,13.4,,,2.3
urbana,federal,30.6,,24.7,84.7,13.4,,,1.9
total,privada,29.8,,7.9,93.5,6.0,,,0.5
urbana,privada,29.9,,7.8,93.5,6.0,,,0.5
urbana,total,34.0,,33.5,74.8,12.4,,,12.8
total,municipal,32.0,,39.5,76.1,10.9,,,13.0
total,publica,34.3,,37.1,72.6,13.1,,,14.3
total,estadual,34.4,,37.2,72.4,13.1,,,14.5
rural,federal,31.1,,21.9,82.3,13.4,,,4.3
urbana,publica,34.6,,36.9,72.4,13.3,,,14.3
urbana,municipal,33.4,,37.6,75.9,11.7,,,12.4
rural,municipal,26.5,,48.9,77.3,7.3,,,15.4
rural,publica,27.2,,41.6,78.9,7.5,,,13.6
rural,total,27.1,,40.9,79.4,7.4,,,13.2
total,total,33.7,,33.7,74.9,12.3,,,12.8
rural,federal,30.7,8.7,18.4,89.6,9.1,99.2,68.6,1.3
